"CO","CI","SV","SVI","SVV","PRV","PR","SYS","DIA","MAP","SI","time","SVR","SVRI","volume","drug_dose"
2.9,2,23,15,9,0,127,66,49,56,1.92424242424242,3900,1434.48275862069,2080,20,0.121599027207782
2.9,2,23,16,8,0,127,66,49,56,1.92424242424242,3920,1434.48275862069,2080,20,0.121599027207782
2.9,2,23,16,10,0,127,66,49,56,1.92424242424242,3940,1434.48275862069,2080,20,0.121599027207782
3.2,2.2,25,17,11,0,127,69,50,58,1.84057971014493,3960,1350,1963.63636363636,20,0.121599027207782
2.9,2,23,16,8,0,127,65,48,54,1.95384615384615,3980,1379.31034482759,2000,20,0.121599027207782
3,2,23,16,6,0,128,64,47,54,2,4000,1333.33333333333,2000,20,0.121599027207782
3,2,23,16,5,0,128,63,47,53,2.03174603174603,4020,1306.66666666667,1960,20,0.121599027207782
3,2,23,16,4,0,127,63,47,53,2.01587301587302,4040,1306.66666666667,1960,20,0.121599027207782
2.7,1.8,22,15,6,0,123,63,46,53,1.95238095238095,4060,1451.85185185185,2177.77777777778,20,0.121599027207782
2.8,1.9,22,15,5,0,127,62,46,53,2.04838709677419,4080,1400,2063.15789473684,20,0.121599027207782
3,2,23,15,5,0,131,62,45,52,2.11290322580645,4100,1280,1920,20,0.121599027207782
3.4,2.3,26,18,5,0,130,66,47,55,1.96969696969697,4120,1200,1773.91304347826,20,0.121599027207782
2.8,1.9,22,15,5,0,126,64,48,54,1.96875,4140,1428.57142857143,2105.26315789474,20,0.121599027207782
1.2,0.8,12,8,5,0,101,52,45,48,1.94230769230769,4160,2933.33333333333,4400,20,0.121599027207782
1.4,1,13,9,5,0,110,53,48,50,2.07547169811321,4180,2628.57142857143,3680,20,0.121599027207782
1.4,1,13,9,5,0,110,53,48,50,2.07547169811321,4200,2628.57142857143,3680,20,0.121599027207782
2.5,1.7,23,15,8,0,112,58,47,52,1.93103448275862,4440,1536,2258.82352941176,20,0.121599027207782
2.5,1.7,23,15,8,0,112,58,47,52,1.93103448275862,4460,1536,2258.82352941176,20,0.121599027207782
2.9,2,23,16,8,0,124,55,45,50,2.25454545454545,4600,1268.96551724138,1840,20,0.121599027207782
2.6,1.8,22,15,10,0,122,56,44,49,2.17857142857143,4620,1384.61538461538,2000,20,0.121599027207782
2.6,1.8,21,14,12,0,126,58,46,51,2.17241379310345,4640,1446.15384615385,2088.88888888889,20,0.121599027207782
2.7,1.9,22,15,11,0,126,60,47,53,2.1,4660,1451.85185185185,2063.15789473684,20,0.121599027207782
2.9,2,23,16,7,0,128,62,48,54,2.06451612903226,4680,1379.31034482759,2000,20,0.121599027207782
3,2,23,16,7,0,127,61,47,53,2.08196721311475,4700,1306.66666666667,1960,20,0.121599027207782
2.6,1.8,20,14,6,0,127,59,47,53,2.15254237288136,4720,1507.69230769231,2177.77777777778,20,0.121599027207782
2.9,2,22,15,7,0,127,60,47,53,2.11666666666667,4740,1351.72413793103,1960,20,0.121599027207782
3,2.1,24,16,6,0,125,62,48,54,2.01612903225806,4760,1333.33333333333,1904.7619047619,20,0.121599027207782
2.7,1.9,21,15,6,0,128,63,49,54,2.03174603174603,4780,1481.48148148148,2105.26315789474,20,0.121599027207782
2.9,2,23,16,5,0,125,63,49,55,1.98412698412698,4800,1406.89655172414,2040,20,0.121599027207782
2.9,2,22,15,7,0,129,63,48,54,2.04761904761905,4820,1379.31034482759,2000,20,0.121599027207782
2.9,2,23,16,8,0,127,62,47,53,2.04838709677419,4840,1351.72413793103,1960,20,0.121599027207782
2.8,1.9,22,15,7,0,129,62,48,54,2.08064516129032,4860,1428.57142857143,2105.26315789474,20,0.121599027207782
